SEQID,AGEG5LFS,GENDER_R,U01b000A,AS_Numeric_Encoding,U01b000S,U01b000T,PVLIT1,PVNUM1
180,50-54,Female,35,"1,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",1,235306,282.40337,260.69322
186,20-24,Male,18,"4,1,5,3,4,2,1,5,3,4,2,1,5,3,4,2,1,5,3,4,1,5,3,9",0,36502,243.96457,192.32201
189,20-24,Female,5,"2,9",0,106312,222.43948,154.76093
190,30-34,Female,47,"1,12,1,2,1,12,6,10,7,11,8,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,140560,311.15311,295.96046
194,40-44,Female,60,"1,6,10,7,11,8,1,13,2,4,2,1,5,3,2,1,2,4,1,5,3,2,4,1,5,3,2,1,6,1,2,6,10,1,7,11,8,1,13,2,4,2,1,5,3,2,4,1,5,3,9",1,372903,339.82075,266.10702
200,55-59,Female,41,"2,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,1,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,6,10,14,4,1,5,3,9",1,161864,267.42086,240.80606
202,60-65,Male,6,"1,9",0,54479,256.82492,271.31486
208,25-29,Female,37,"2,6,10,7,11,8,14,1,13,1,2,1,12,19,1,2,12,1,3,2,17,2,17,12,1,3,2,17,12,3,2,17,9",1,313248,293.90769,228.05693
209,16-19,Female,77,"2,4,2,1,5,3,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,12,6,10,1,7,11,8,13,6,10,7,11,8,13,1,2,4,2,1,4,1,5,3,2,4,2,1,5,3,4,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,206362,316.77998,282.65247
213,35-39,Male,62,"1,15,16,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,6,10,1,17,7,11,8,14,1,13,6,10,7,11,8,13,1,4,2,4,2,1,5,3,2,4,1,5,3,1,9",0,174420,255.34143,219.19021
218,60-65,Male,28,"12,14,1,2,1,12,19,12,19,7,8,12,19,7,8,9",0,153442,330.60613,301.04885
220,25-29,Female,0,9,0,36799,222.97326,203.60685
222,40-44,Female,5,"1,9",0,42255,259.63378,244.32654
234,55-59,Female,50,"2,6,10,7,11,8,14,1,7,8,13,2,4,2,1,5,3,1,2,4,2,4,1,5,3,1,20,9",0,248111,289.9469,278.41572
235,25-29,Male,5,"1,9",0,53015,241.65892,199.37074
237,40-44,Male,37,"1,2,12,3,12,2,12,1,14,6,10,7,11,8,14,1,13,1,2,12,1,3,2,12,1,3,2,12,1,3,2,9",1,246545,302.69143,272.11544
242,50-54,Female,8,"2,1,2,9",0,164173,200.11785,175.28283
245,45-49,Female,2,"2,1,9",0,82800,176.26007,103.27949
247,45-49,Male,0,9,0,13534,211.27633,230.63035
